,name,esrb,total_rating
401,Arslan: the Warriors of Legend,5,58.4375
402,Armored Warfare,5,65
403,Archangel: Hellfire,5,59.16666667
404,Arcania: Gothic 4,5,57.61909363
405,Another World,5,87.79220992
406,Anomaly 2,5,69.5
407,Anima: Gate of Memories,5,63.3125
408,Among the Sleep,5,68.27470109
409,Air Conflicts: Vietnam,5,45
410,Air Conflicts: Pacific Carriers,5,40
411,Agatha Christie: The ABC Murders,5,71.51535272
412,Agatha Christie - The ABC Murders,5,63
413,Ace of Seafood,5,80
414,Abyss Odyssey,5,59.92857143
415,Absolver,5,66.8787648
416,Abo Khashem,5,60
417,ARK: Survival Evolved,5,67.27393564
418,ANIMA: GATE OF MEMORIES - THE NAMELESS CHRONICLES,5,68.5
419,ADR1FT,5,77.30667308
420,ACA NEOGEO WORLD HEROES 2 JET,5,60
421,ACA NEOGEO SAMURAI SHODOWN III,5,80
422,ACA NEOGEO REAL BOUT FATAL FURY SPECIAL,5,90
423,ACA NEOGEO NAM-1975,5,63
424,ACA NEOGEO METAL SLUG,5,75
425,A Hole New World,5,72
426,99Vidas,5,54.5
427,428: Shibuya Scramble,5,76.25
428,1001 Spikes,5,83.5
429,10 Second Ninja X,5,73.66666667
430,#KILLALLZOMBIES,5,67.5
,,Mean:,71.39029305
,,Std:,11.91938186
